release_year,FilmID,Title,Mood,Theme,NarrativeStyle,EmotionalTone,Description
2007,6137,Loving Annabelle,neutral,neutral,neutral,"Drama, Romance","Annabelle is the wise-beyond-her-years newcomer to an exclusive Catholic girls school. Having been expelled from her first two schools she's bound to stir some trouble. Sparks fly though when sexual chemistry appears between her and the Head of her dorm and English teacher, Simone Bradley. Annabelle pursues her relentlessly and until the end the older woman manages to avoid the law. Genre: Drama, Romance"
2000,6138,Gangster No. 1,neutral,neutral,neutral,"Action, Drama, Thriller","An old gangster is advised that Freddie Mays would leave jail after thirty years in prison. His mood changes and he recalls when he was a young punk and who joined Freddie's gang—a man he both envied and ultimately betrayed. Genre: Action, Drama, Thriller"
2020,6139,Sound of Metal,neutral,neutral,drama,"Drama, Music","Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew. Genre: Drama, Music"
2016,6140,Offline: Are You Ready for the Next Level?,heroic,neutral,"action, drama","Action, Adventure, Comedy","Champion gamer Jan has to fight for his digital identity, winning back his real life as well. Genre: Action, Adventure, Comedy"
2015,6141,Ghost in the Shell: The New Movie,neutral,neutral,neutral,"Science Fiction, Animation","When a ghost-infecting virus known as Fire-Starter begins spreading through the system resulting in the assassination of the Japanese Prime Minister, Major Motoko Kusanagi and her elite team of special operatives are called in to track down its source. Genre: Science Fiction, Animation"
2005,6142,Rumor Has It...,uplifting,family,"mystery, drama",Comedy,"Sarah Huttinger's return home with her fiance convinces her that the sedate, proper, country-club lifestyle of her family isn't for her – and that maybe the Huttinger family isn't even hers – as she uncovers secrets that suggest the Huttingers are neither sedate nor proper. Genre: Comedy"
2007,6143,In the Name of the King: A Dungeon Siege Tale,neutral,neutral,neutral,"Adventure, Fantasy, Action, Drama","A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son -- two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian. Genre: Adventure, Fantasy, Action, Drama"
2020,6144,The Silencing,dark,crime,neutral,"Action, Thriller","A reformed hunter becomes involved in a deadly game of cat and mouse when he and the local sheriff set out to track a vicious killer who may have kidnapped his daughter years ago. Genre: Action, Thriller"
2002,6145,Drumline,neutral,neutral,neutral,"Drama, Romance, Comedy, Music","A fish-out-of-water comedy about a talented street drummer from Harlem who enrolls in a Southern university, expecting to lead its marching band's drumline to victory. He initially flounders in his new world, before realizing that it takes more than talent to reach the top. Genre: Drama, Romance, Comedy, Music"
2020,6146,Made in Abyss: Dawn of the Deep Soul,neutral,neutral,neutral,"Animation, Adventure, Fantasy, Mystery","A continuation of the epic adventure of plucky Riko and Reg who are joined by their new friend Nanachi. Together they descend into the Abyss' treacherous fifth layer, the Sea of Corpses, and encounter the mysterious Bondrewd, a legendary White Whistle whose shadow looms over Nanachi's troubled past. Bondrewd is ingratiatingly hospitable, but the brave adventurers know things are not always as they seem in the enigmatic Abyss. Genre: Animation, Adventure, Fantasy, Mystery"
2020,6147,The Calm Beyond,neutral,family,drama,"Science Fiction, Thriller","A young woman lives, hidden in plain sight in a ruined Hong Kong building after a tsunami destroyed the city - A castaway on a concrete island. Her concealed existence is changed forever when a small child literally floats into her life. Genre: Science Fiction, Thriller"
2018,6148,London Fields,dark,neutral,neutral,"Crime, Thriller","Clairvoyant femme fatale, Nicola Six has been living with a dark premonition of her impending death by murder. She begins a tangled love affair with three uniquely different men—one of whom she knows will be her murderer. Genre: Crime, Thriller"
2007,6149,I Now Pronounce You Chuck & Larry,neutral,neutral,neutral,"Comedy, Romance","Firefighters Chuck Ford and Larry Valentine are guy's guys, loyal to the core—which is why when widower Larry asks Chuck to pose as his gay lover so that he can get domestic partner benefits for his kids, his buddy agrees. However, things get dicey when a bureaucrat comes calling, and the boys are forced to present a picture of domestic bliss. Genre: Comedy, Romance"
2019,6150,Kidnapping Stella,neutral,neutral,neutral,Thriller,"Snatched off the street and held for ransom, a bound and gagged woman uses her limited powers to derail her two masked abductors' carefully laid plans. Genre: Thriller"
2005,6151,Hard Candy,neutral,neutral,neutral,"Drama, Thriller","Hayley’s a smart, charming teenage girl. Jeff’s a handsome, smooth fashion photographer. An Internet chat, a coffee shop meet-up, an impromptu fashion shoot back at Jeff’s place. Jeff thinks it’s his lucky night. He’s in for a surprise. Genre: Drama, Thriller"
1969,6152,Midnight Cowboy,neutral,neutral,neutral,Drama,"Joe Buck is a wide-eyed hustler from Texas hoping to score big with wealthy New York City women; he finds a companion in Enrico ""Ratso"" Rizzo, an ailing swindler with a bum leg and a quixotic fantasy of escaping to Florida. Genre: Drama"
1990,6153,Wild at Heart,neutral,neutral,drama,"Comedy, Crime, Thriller","After serving prison time for a self-defense killing, Sailor Ripley reunites with girlfriend Lula Fortune. Lula's mother, Marietta, desperate to keep them apart, hires a hitman to kill Sailor. But he finds a whole new set of troubles when he and Bobby Peru, an old buddy who's also out to get Sailor, try to rob a store. When Sailor lands in jail yet again, the young lovers appear further than ever from the shared life they covet. Genre: Comedy, Crime, Thriller"
2013,6154,Gangster Squad,neutral,neutral,neutral,"Crime, Drama, Action, Thriller","Los Angeles, 1949. Ruthless, Brooklyn-born mob king Mickey Cohen runs the show in this town, reaping the ill-gotten gains from the drugs, the guns, the prostitutes and — if he has his way — every wire bet placed west of Chicago. And he does it all with the protection of not only his own paid goons, but also the police and the politicians who are under his control. It’s enough to intimidate even the bravest, street-hardened cop… except, perhaps, for the small, secret crew of LAPD outsiders led by Sgt. John O’Mara and Jerry Wooters who come together to try to tear Cohen’s world apart. Genre: Crime, Drama, Action, Thriller"
2016,6155,Bleed for This,neutral,neutral,neutral,Drama,"The inspirational story of World Champion Boxer Vinny Pazienza, who after a near fatal car crash, which left him not knowing if he'd ever walk again, made one of sports most incredible comebacks. Genre: Drama"
2022,6156,The Darker the Lake,neutral,neutral,neutral,"Crime, Thriller, Mystery","When strange, supernatural murders suddenly become the talk a peaceful town, two detectives must solve a deadly game, but will the myth of this game reveal secrets too close to home. Genre: Crime, Thriller, Mystery"
2017,6157,War Machine,neutral,neutral,neutral,"Comedy, Drama, War","A rock star general bent on winning the “impossible” war in Afghanistan takes us inside the complex machinery of modern war. Inspired by the true story of General Stanley McChrystal. Genre: Comedy, Drama, War"
1983,6158,Silkwood,neutral,neutral,neutral,"Drama, Thriller","The story of Karen Silkwood, a metallurgy worker at a plutonium processing plant who was purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing blatant worker safety violations at the plant. Genre: Drama, Thriller"
2013,6159,Grudge Match,heroic,neutral,action,Comedy,A pair of aging boxing rivals are coaxed out of retirement to fight one final bout -- 30 years after their last match. Genre: Comedy
2010,6160,Never Sleep Again: The Elm Street Legacy,neutral,neutral,neutral,Documentary,"For decades, Freddy Krueger has slashed his way through the dreams of countless youngsters, scaring up over half a billion dollars at the box office across eight terrifying, spectacular films. Genre: Documentary"
1998,6161,Star Trek: Insurrection,neutral,neutral,neutral,"Science Fiction, Action, Adventure, Thriller","When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded. Genre: Science Fiction, Action, Adventure, Thriller"
2012,6162,The Pirates! In an Adventure with Scientists!,neutral,neutral,neutral,"Animation, Adventure, Family, Comedy","The luxuriantly bearded Pirate Captain is a boundlessly enthusiastic, if somewhat less-than-successful, terror of the High Seas. With a rag-tag crew at his side, and seemingly blind to the impossible odds stacked against him, the Captain has one dream: to beat his bitter rivals Black Bellamy and Cutlass Liz to the much coveted Pirate of the Year Award. It’s a quest that takes our heroes from the shores of exotic Blood Island to the foggy streets of Victorian London. Along the way they battle a diabolical queen and team up with a haplessly smitten young scientist, but never lose sight of what a pirate loves best: adventure! Genre: Animation, Adventure, Family, Comedy"
2009,6163,Mulan: Rise of a Warrior,neutral,neutral,neutral,"Adventure, Drama, Action","When barbarian hordes threaten her homeland, the brave and cunning Mulan disguises herself as a male soldier to swell the ranks in her aging father's stead. The warrior's remarkable courage drives her through powerful battle scenes and brutal wartime strategy. Mulan loses dear friends to the enemy's blade as she rises to become one of her country's most valuable leaders — but can she win the war before her secret is exposed? Genre: Adventure, Drama, Action"
2015,6164,Tamayura: Graduation Photo Part 1 - Kizashi,uplifting,family,drama,"Drama, Animation","As Fu and her friends begin their third and final year of high school, the photography club gets two new members; freshman Takumi Shindou and sophomore Suzune Maekawa. Thinking about what to do after graduation, Fu decides she wants to pursue a career combining photography and travelling. Afterwards, Fu's family tell Fu about the time she took a picture of her father and first learned about ""tamayura"" from him. Later, as Chihiro and Tomo pay a visit for the Bamboo Festival, announcing that they plan to study abroad after graduation, Fu is shocked to learn that Riho is planning to leave town. During the festival the next day, as the girls get to see Kanae as part of Sayomi's explorer's club, Fu is approached by Riho, who explains she is going to Tokyo to open a gallery with her friend. Thankful for everything Riho has done for her, Fu promises the carry on her torch in pusuit of a career in photography. Genre: Drama, Animation"
2019,6165,Super Monsters Furever Friends,heroic,neutral,neutral,"Fantasy, Animation","On the first night of spring, the Super Monsters gather for food, fun and games in the park -- and get to meet their adorable new pets! Genre: Fantasy, Animation"
1954,6166,Godzilla,neutral,neutral,mystery,"Thriller, Horror, Science Fiction","Japan is thrown into a panic after several ships are sunk near Odo Island. An expedition to the island led by Dr. Yemani soon discover something far more devastating than imagined in the form of a 50 meter tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well. Genre: Thriller, Horror, Science Fiction"
2018,6167,Slaughterhouse Rulez,neutral,neutral,neutral,"Action, Comedy, Fantasy, Horror","An illustrious British boarding school becomes a bloody battleground when a mysterious sinkhole appears at a nearby fracking site unleashing unspeakable horror. Genre: Action, Comedy, Fantasy, Horror"
2018,6168,The Bouncer,neutral,neutral,neutral,"Action, Drama, Thriller","A tough nightclub bouncer struggling to raise his 8-year-old daughter is forced to go undercover after an unfortunate event. Genre: Action, Drama, Thriller"
2018,6169,Haunted Hospital: Heilstatten,neutral,neutral,neutral,Horror,"Group of Youtubers enter an abandoned surgery ward for 24-hour challenge, hoping to go viral. They will soon learn that they're not welcome. Genre: Horror"
2010,6170,True Legend,heroic,neutral,drama,"Action, Fantasy","Su Qi-Er, a wealthy man living during the Qing Dynasty who loses his fortune and reputation as a result of a conspiracy against him. After being forced out onto the streets, Su dedicates his life to martial arts and reemerges as a patriotic hero known as the ""King of Beggars."" Genre: Action, Fantasy"
2014,6171,Marvel Renaissance,neutral,neutral,neutral,"Documentary, TV Movie","Documentary about the rise of Marvel Studios after their near-bankruptcy in the mid-1990s. Genre: Documentary, TV Movie"
2008,6172,The Wrestler,neutral,neutral,neutral,"Drama, Romance","Aging wrestler Randy ""The Ram"" Robinson is long past his prime but still ready and rarin' to go on the pro-wrestling circuit. After a particularly brutal beating, however, Randy hangs up his tights, pursues a serious relationship with a long-in-the-tooth stripper, and tries to reconnect with his estranged daughter. But he can't resist the lure of the ring and readies himself for a comeback. Genre: Drama, Romance"
1996,6173,The Long Kiss Goodnight,neutral,neutral,drama,"Crime, Action, Mystery, Thriller","Samantha Caine, suburban homemaker, is the ideal mom to her 8 year old daughter Caitlin. She lives in Honesdale, PA, is a school teacher and makes the best Rice Krispie treats in town. But when she receives a bump on her head, she begins to remember small parts of her previous life as a lethal, top-secret agent. Genre: Crime, Action, Mystery, Thriller"
2018,6174,Stuntman,neutral,neutral,neutral,Documentary,A veteran stuntman sets out to complete the jump that bested his idol Evel Knievel: clearing the Snake River Canyon in a rocket-powered craft. Genre: Documentary
1969,6175,Easy Rider,neutral,neutral,neutral,"Adventure, Drama","A cross-country trip to sell drugs puts two hippie bikers on a collision course with small-town prejudices. Genre: Adventure, Drama"
2005,6176,Joyeux Noel,neutral,neutral,neutral,"Drama, War, Romance, History","France, 1914, during World War I. On Christmas Eve, an extraordinary event takes place in the bloody no man's land that the French and the Scots dispute with the Germans… Genre: Drama, War, Romance, History"
2001,6177,The Last Castle,neutral,neutral,neutral,"Action, Drama, Thriller","A court-martialed general rallies together 1200 inmates to rise against the system that put him away. Genre: Action, Drama, Thriller"
2015,6178,Look Who's Back,neutral,neutral,neutral,Comedy,"Adolf Hitler wakes up in a vacant lot in Berlin, with no knowledge of anything that happened after 1945. Homeless and destitute. Although everyone recognizes him, nobody believes that he is Hitler; instead, they think he is either a comedian, or a method actor. Genre: Comedy"
2009,6179,Death Note Relight 2: L's Successors,dark,neutral,neutral,"TV Movie, Thriller, Animation, Crime, Drama, Fantasy","After the events of the first movie Yagami Light faces two new adversaries as he is trying to create a perfect world without crime or criminals. This movie continues the first tv special and is a summary of the last 12 episodes of the tv anime Genre: TV Movie, Thriller, Animation, Crime, Drama, Fantasy"
2018,6180,Time Freak,neutral,neutral,neutral,"Science Fiction, Comedy, Romance","Stillman, a heartbroken physics student, builds a time machine when his girlfriend breaks up with him. Going back in time, he attempts to save their relationship by fixing every mistake he made—while dragging his best friend along in the process. Genre: Science Fiction, Comedy, Romance"
2000,6181,Blood: The Last Vampire,heroic,neutral,action,"Animation, Fantasy, Horror","In Japan, the vampire-hunter Saya, who is a powerful original, is sent by her liaison with the government, David, posed as a teenage student to the Yokota High School on the eve of Halloween to hunt down vampires. Saya asks David to give a new katana to her. Soon she saves the school nurse Makiho Amano from two vampires disguised of classmates and Makiho witnesses her fight against the powerful demon. Genre: Animation, Fantasy, Horror"
2013,6182,The Way Way Back,neutral,neutral,neutral,"Comedy, Drama","Shy 14-year-old Duncan goes on summer vacation with his mother, her overbearing boyfriend, and her boyfriend's daughter. Having a rough time fitting in, Duncan finds an unexpected friend in Owen, manager of the Water Wizz water park. Genre: Comedy, Drama"
1981,6183,Cannibal Ferox,neutral,neutral,neutral,"Adventure, Horror","Three friends out to disprove cannibalism meet two men on the run who tortured and enslaved a cannibal tribe to find emeralds, and now the tribe is out for revenge. Genre: Adventure, Horror"
1989,6184,Little Nemo: Adventures in Slumberland,neutral,neutral,neutral,"Adventure, Animation, Family, Fantasy","A little boy whose dreams transcend reality is sucked into his own fantasy, which is everything he has dreamed of, until he unleashes an old secret that may not only destroy this perfect dream world but reality itself. Genre: Adventure, Animation, Family, Fantasy"
2002,6185,Winnie the Pooh: A Very Merry Pooh Year,neutral,neutral,neutral,"Animation, Family","It's Christmastime in the Hundred Acre Wood and all of the gang is getting ready with presents and decorations. The gang makes a list of what they want for Christmas and send it to Santa Claus - except that Pooh forgot to ask for something. So he heads out to retrieve the letter and get it to Santa by Christmas...which happens to be tomorrow! Genre: Animation, Family"
2015,6186,Kidnapping Mr. Heineken,neutral,neutral,neutral,"Drama, Action, Crime, Thriller, Mystery","The true story of the kidnapping of Freddy Heineken, the grandson of the founder of the Heineken brewery, and his driver. They were released after a ransom of 35 million Dutch guilders was paid. Genre: Drama, Action, Crime, Thriller, Mystery"
2007,6187,Underdog,neutral,neutral,neutral,"Family, Action, Adventure, Comedy, Fantasy","A lab accident gives a hound named Shoeshine some serious superpowers -- a secret that the dog eventually shares with the young boy who becomes his owner and friend. Genre: Family, Action, Adventure, Comedy, Fantasy"
2014,6188,Hector and the Search for Happiness,neutral,family,drama,"Adventure, Drama, Comedy","Hector is a quirky psychiatrist who has become increasingly tired of his humdrum life. As he tells his girlfriend, Clara, he feels like a fraud: he hasn’t really tasted life, and yet he’s offering advice to patients who are just not getting any happier. So Hector decides to break out of his deluded and routine driven life. Armed with buckets of courage and child-like curiosity, he embarks on a global quest in hopes of uncovering the elusive secret formula for true happiness. And so begins a larger than life adventure with riotously funny results. Genre: Adventure, Drama, Comedy"
1986,6189,The Wraith,neutral,fantasy,neutral,"Action, Science Fiction","Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh beats the decent teenager Jamie Hankins to death after finding him with his girlfriend, a mysterious power creates Jake Kesey, an extremely cool motor-biker who has a car which is invincible. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Bill under his wing and manages what Sheriff Loomis couldn't; eliminate Packard's criminal gang the hard way... Genre: Action, Science Fiction"
2013,6190,Last Vegas,neutral,neutral,neutral,Comedy,Three sixty-something friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal. Genre: Comedy
2018,6191,Our House,neutral,neutral,neutral,"Horror, Drama, Thriller","Ethan is suffering enormous guilt after his parents are killed in a car accident. He quits a promising future at MIT and work on a revolutionary experiment in order to care for his younger siblings. Genre: Horror, Drama, Thriller"
2010,6192,Space Chimps 2: Zartog Strikes Back,neutral,neutral,neutral,"Animation, Family","Comet longs to be taken seriously as a full-fledged space chimp. He journeys to the fantastical Planet Malgor and bonds with the adorable alien Kilowatt, living out his ultimate fantasy. However, it's time for Comet to prove himself when the feared alien ruler Zartog takes over Mission Control! Comet must show he has the right stuff, and join fellow chimps Ham, Luna and Titan, to save the day. Genre: Animation, Family"
1987,6193,Revenge of the Nerds II: Nerds in Paradise,neutral,neutral,neutral,Comedy,"The members of the Lambda Lambda Lambda fraternity travel to Fort Lauderdale for a fraternity conference. They'll have to beat off the attacks of their rival frat, the Alphas, if they want to maintain their self-respect -- and, of course, if they want to get anywhere with the pretty girls! Genre: Comedy"
1974,6194,Murder on the Orient Express,dark,neutral,neutral,"Drama, Thriller, Mystery","In 1935, when his train is stopped by deep snow, detective Hercule Poirot is called on to solve a murder that occurred in his car the night before. Genre: Drama, Thriller, Mystery"
2012,6195,Partysaurus Rex,neutral,neutral,neutral,"Family, Animation, Comedy, Fantasy","When Rex finds himself left behind in the bathroom, he puts his limbs to use by getting a bath going for a bunch of new toy friends. Genre: Family, Animation, Comedy, Fantasy"
2017,6196,Journey's End,neutral,neutral,neutral,"War, Drama","Set in a dugout in Aisne in 1918, a group of British officers, led by the mentally disintegrating young officer Stanhope, variously await their fate. Genre: War, Drama"
1995,6197,Congo,dark,crime,neutral,"Action, Adventure, Science Fiction","Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes. Genre: Action, Adventure, Science Fiction"
2000,6198,"Dude, Where's My Car?",neutral,neutral,neutral,"Comedy, Science Fiction","Two stoners wake up after a night of partying and cannot remember where they parked their car. Genre: Comedy, Science Fiction"
2020,6199,The Special,neutral,neutral,neutral,"Horror, Comedy","Suspecting his wife of infidelity, Jerry is persuaded by his best friend to accompany him to a brothel to sample ‘The Special’, which proves to be a lifechanging experience in more ways than one. Because every pleasure has its price... Genre: Horror, Comedy"
2018,6200,Maya the Bee: The Honey Games,neutral,neutral,neutral,"Comedy, Family, Animation, Adventure","When an overenthusiastic Maya accidentally embarrasses the Empress of Buzztropolis, she is forced to unite with a team of misfit bugs and compete in the Honey Games for a chance to save her hive. Genre: Comedy, Family, Animation, Adventure"
2013,6201,Scooby-Doo! Adventures: The Mystery Map,uplifting,family,drama,"Family, Comedy, Mystery, Animation","Get ready to experience the world-famous Scooby-Doo! and Crew like never before in this all-new, original puppet movie! What begins as a routine night for the Gang - which includes the slobbering sleuth and Shaggy eating a triple-extra-large Scooby snack pizza - becomes a mad dash to find the frightening Phantom Parrot, who has a map to pirate Gnarlybeard's hidden treasure. Scooby sniffs out the map's clues, which lead him right to a spooky pirate ship. Ruh-roh! What will Gnarlybeard be willing to do to protect his booty? The whole family will love casting off on this mysterious, fun-filled voyage again and again. Genre: Family, Comedy, Mystery, Animation"
2006,6202,200 Pounds Beauty,neutral,neutral,neutral,"Drama, Comedy, Romance","Based on a Japanese manga, Kanna-San, Daiseikou Desu, this story revolves around Kang Han-na, an overweight phone sex employee and secret vocalist for Ammy, a famous Korean pop singer who actually lip syncs as she cannot sing. After getting humilitated publicly by an ungrateful Ammy, Han-na undergoes an extreme makeover to become a pop sensation herself. Genre: Drama, Comedy, Romance"
2017,6203,It Comes at Night,uplifting,family,drama,"Drama, Horror, Mystery","Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son, but this will soon be put to test when a desperate young family arrives seeking refuge. Genre: Drama, Horror, Mystery"
1978,6204,Game of Death,neutral,neutral,neutral,"Drama, Action, Thriller, Crime","A martial arts movie star must fake his death to find the people who are trying to kill him. Genre: Drama, Action, Thriller, Crime"
2011,6205,My Way,neutral,neutral,neutral,"Drama, Action, History, War","Jun-shik, who works for Tatsuo’s grandfather’s farm while Korea is colonized by Japan, dreams about participating in the Tokyo Olympics as a marathon runner. Tatsuo also aims to become a marathon runner, so the two become rivals. But the war breaks out and they both are forced to enlist in the army. Tatsuo becomes the head of defense in Jun-shik’s unit and he devises a scheme but fails. Jun-shik and Tatsuo are held captive by the Soviets. They run away but soon are captured by the Germans and forced to separate. In 1944, they meet again on the shores of Normandy. Genre: Drama, Action, History, War"
2019,6206,Kim Possible,"uplifting, heroic",family,drama,"Family, Action, Adventure, Comedy, TV Movie","Everyday teen hero Kim Possible and her best friend Ron Stoppable embark on their freshman year of high school, all while saving the world from evil villains. While Kim and Ron have always been one step ahead of their opponents, navigating the social hierarchy of high school is more challenging than the action-hero ever imagined. With Drakken and Shego lurking in the wings, Kim must rely on her family and Team Possible—Ron, tech-genius Wade, new friend Athena, and Rufus, a Naked mole-rat. Genre: Family, Action, Adventure, Comedy, TV Movie"
2008,6207,The Secret of Moonacre,neutral,neutral,drama,"Adventure, Fantasy, Drama, Science Fiction, Romance, Family","When 13 year old Maria Merryweather's father dies, leaving her orphaned and homeless, she is forced to leave her luxurious London life to go and live with Sir Benjamin, an eccentric uncle she didn't know she had, at the mysterious Moonacre Manor. Genre: Adventure, Fantasy, Drama, Science Fiction, Romance, Family"
2013,6208,The Physician,neutral,neutral,neutral,"Adventure, Drama, History","England, 1021. Rob Cole, a boy born in a miserable mining town, swears to become a physician and vanquish disease and death. His harsh path of many years, a quest for knowledge besieged by countless challenges and sacrifices, leads him to the remote Isfahan, in Persia, where he meets Ibn Sina, the greatest healer of his time. Genre: Adventure, Drama, History"
2017,6209,Sandy Wexler,neutral,neutral,neutral,Comedy,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off. Genre: Comedy"
2018,6210,Isle of Dogs,neutral,neutral,neutral,"Adventure, Comedy, Animation","In the future, an outbreak of canine flu leads the mayor of a Japanese city to banish all dogs to an island that's a garbage dump. The outcasts must soon embark on an epic journey when a 12-year-old boy arrives on the island to find his beloved pet. Genre: Adventure, Comedy, Animation"
1970,6211,Patton,neutral,neutral,neutral,"War, Drama, History","""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination. Genre: War, Drama, History"
2014,6212,Ghost in the Shell Arise - Border 4: Ghost Stands Alone,neutral,neutral,neutral,"Action, Animation, Science Fiction, Crime","The upcoming installment's story takes place amidst signs of postwar reconstruction in the winter of 2028. Tensions are rising in New Port City as demonstrations are held concerning the interests of foreign cartels. This leads to a shooting incident involving riot police. It all started with a cyberbrain infection released by the terrorist ""Fire Starter."" An independent offensive unit led by Makoto Kusanagi entrusts the suppression of the situation to their ghosts and aims for their own justice. Below the surface of the incident, lies the ""tin girl"" Emma and the ""scarecrow man"" Burinda Junior. As Kusanagi deals with the incident, she draws near to what those two ghosts were seeking. Genre: Action, Animation, Science Fiction, Crime"
1984,6213,Cannonball Run II,neutral,neutral,neutral,"Action, Comedy","The original characters from the first Cannonball Run movie compete in an illegal race across the country once more in various cars and trucks. Genre: Action, Comedy"
2007,6214,An American Crime,neutral,neutral,neutral,"Crime, Drama","The true story of suburban housewife Gertrude Baniszewski, who kept a teenage girl locked in the basement of her Indiana home during the 1960s. Genre: Crime, Drama"
2003,6215,Demon Slayer,"dark, heroic",neutral,action,"Comedy, Horror","Five delinquent teenagers are assigned the task of converting a long-abandoned mental hospital in South Central Los Angeles into a community center. Little do they know that the hospital is the site of centuries of supernatural mayhem and murder. Plagued by terrors beyond belief, the teenagers must fight to survive a battle where the division between the living and the dead is shattered. Genre: Comedy, Horror"
2005,6216,Domino,neutral,neutral,drama,"Action, Crime","The story of the life of Domino Harvey, who abandoned her career as a Ford model to become a bounty hunter. Genre: Action, Crime"
2002,6217,The Twilight Samurai,neutral,neutral,drama,"Drama, Romance, History","Seibei Iguchi leads a difficult life as a low ranking samurai at the turn of the nineteenth century. A widower with a meager income, Seibei struggles to take care of his two daughters and senile mother. New prospects seem to open up when the beautiful Tomoe, a childhood friend, comes back into he and his daughters' life, but as the Japanese feudal system unravels, Seibei is still bound by the code of honor of the samurai and by his own sense of social precedence. How can he find a way to do what is best for those he loves? Genre: Drama, Romance, History"
2011,6218,Small Fry,neutral,neutral,neutral,"Animation, Family, Comedy","A fast food restaurant mini variant of Buzz forcibly switches places with the real Buzz and his friends have to deal with the obnoxious impostor. Genre: Animation, Family, Comedy"
1970,6219,When Dinosaurs Ruled the Earth,neutral,neutral,neutral,"Adventure, Fantasy, Science Fiction","An ancient tribe attempts to sacrifice Sanna as an offering to the Sun god to save their tribe from dinosaurs. Tara, a young man from another tribe, saves Sanna and takes her along with him. Genre: Adventure, Fantasy, Science Fiction"
2016,6220,Sword Master,heroic,neutral,"action, drama",Action,"Weary of the bloodshed and violence from the martial arts world, a powerful swordsman banishes himself to the humble life a vagrant, wandering the fringes of society. But his violent past refuses to let him go quietly. The master swordsman must regain the ability to wield his sword and fight those disrupting the peace he so desperately craves. Genre: Action"
2012,6221,Dark Desire,neutral,neutral,neutral,"TV Movie, Crime, Mystery, Thriller","A young man desperate to be connected to the people close to him resorts to devious measures to achieve that desire Genre: TV Movie, Crime, Mystery, Thriller"
2003,6222,National Lampoon Presents Dorm Daze,neutral,neutral,neutral,Comedy,A man decides he needs to help his younger brother lose his virginity and hires a prostitute named Dominique. But hilarious high jinks ensue when a French exchange student with the same name also shows up at his brother's dorm room. Genre: Comedy
2007,6223,Elizabeth: The Golden Age,neutral,neutral,neutral,"Drama, History, Romance","When Queen Elizabeth's reign is threatened by ruthless familial betrayal and Spain's invading army, she and her shrewd adviser must act to safeguard the lives of her people. Genre: Drama, History, Romance"
1974,6224,The Longest Yard,neutral,neutral,neutral,"Crime, Comedy, Drama","In this rough-and-tumble yarn, actually filmed on-location at the Georgia State Prision, the cons are the heroes and the guards are the heavies. Eddie Albert is the sadistic warden who'll gladly make any sacrifice to push his guards' semi-pro football team to a national championship. Genre: Crime, Comedy, Drama"
2017,6225,First Kill,neutral,neutral,neutral,"Action, Thriller, Crime","A police chief tries to solve a kidnapping that involves a bank robber holding a young boy hostage. Genre: Action, Thriller, Crime"
2016,6226,The Guardian Brothers,neutral,neutral,neutral,"Animation, Family, Fantasy","There's a crisis in the Chinese Spirit World -- humans don't believe in gods anymore! A Door God, facing unemployment, ventures into the human world to prove his worth, leading to unexpected encounters and transformations for humans and spirits alike. Genre: Animation, Family, Fantasy"
2016,6227,Into the Inferno,neutral,fantasy,neutral,Documentary,"With stunning views of eruptions and lava flows, Werner Herzog captures the raw power of volcanoes and their ties to indigenous spiritual practices. Genre: Documentary"
2012,6228,The Devil Inside,neutral,neutral,mystery,"Thriller, Horror","In Italy, a woman becomes involved in a series of unauthorized exorcisms during her mission to discover what happened to her mother, who allegedly murdered three people during her own exorcism. Genre: Thriller, Horror"
2007,6229,Tom and Jerry: A Nutcracker Tale,neutral,neutral,neutral,"Animation, Family, Comedy","A holiday themed animated direct-to-video film starring Academy Award-winners, Tom and Jerry. It uses a good deal of Tchaikovsky's famous ballet The Nutcracker as background music. This film would be the last animated production for Tom and Jerry co-creator, Joseph Barbera, who would die on December 18, 2006. The film features all of the exaggerated violence usually found in Tom and Jerry. Genre: Animation, Family, Comedy"
